osm_id,pop,nome,equidade,autonomia,desenv_humano,qualidade_vida,soma,exclusao,psf,hospitais,beneficiarios_BPC_RMV,beneficiarios_PETI,beneficiarios_PBF
"2979411","4057","Aeroclube",-0.23,0.78,0.23,0.28,1.05,0.52,0,0,11,5,10
"3065235","3069","Água Fria",-0.15,0.28,0.01,0.95,1.09,0.54,1,0,17,0,31
"3062495","4151","Altiplano Cabo Branco",-0.27,0.12,0.14,-0.61,-0.61,-0.17,2,0,26,0,51
"3064514","14981","Alto do Céu",-0.49,-0.95,-0.90,-0.69,-3.02,-0.85,6,0,155,180,1065
"3064262","16898","Alto do Mateus",-0.54,-0.79,-0.36,-0.63,-2.32,-0.65,6,0,188,144,1133
"3065226","1126","Anatólia",-0.35,0.63,0.41,0.00,0.69,0.35,0,0,9,2,9
"3064263","7755","Bairro das Indústrias",-0.40,-0.72,-0.46,-0.61,-2.19,-0.61,5,0,83,4,578
"3064764","8726","Bairro dos Estados",-0.25,0.86,0.70,-0.03,1.28,0.64,0,0,32,12,33
"3064741","7874","Bairro dos Ipês",-0.29,-0.10,0.18,-0.06,-0.28,-0.08,1,0,76,45,735
"3065227","8767","Bancários",-0.36,-0.03,-0.01,-0.47,-0.87,-0.24,3,0,61,102,446
"2979381","7111","Bessa",-0.25,0.66,0.30,-0.04,0.66,0.33,1,0,37,84,103
"3064955","4148","Brisamar",-0.22,0.94,0.67,0.10,1.49,0.74,0,0,22,0,19
"3062456","5439","Cabo Branco",-0.23,0.88,0.81,0.54,2.00,1,0,0,17,73,35
"3065228","12850","Castelo Branco",-0.30,-0.26,0.26,-0.25,-0.54,-0.15,4,0,98,0,496
"3880197","4998","Centro",-0.28,0.17,1.00,0.63,1.52,0.76,3,0,94,6,119
"3065229","1802","Cidade dos Colibris",-0.49,-0.59,-0.47,-0.39,-1.95,-0.55,1,0,7,2,75
"3064766","7053","Cidade Padre Zé",-0.43,-0.94,-0.80,-0.78,-2.94,-0.82,0,0,67,49,593
"3065151","9245","Costa e Silva",-0.57,-0.74,-0.25,-0.76,-2.31,-0.65,3,0,103,2,1231
"3065119","37170","Cristo Redentor",-0.42,-0.42,-0.15,-0.40,-1.38,-0.39,11,0,392,56,2544
"3066318","25994","Cruz das Armas",-0.43,-0.74,0.11,-0.31,-1.37,-0.38,9,0,389,79,952
"3065230","3418","Cuiá",-0.34,-0.03,-0.12,-0.10,-0.59,-0.17,1,0,19,0,64
"3064264","1675","Distrito Industrial",-1.00,-0.90,-0.71,-0.96,-3.57,-1.00,1,0,17,44,83
"3065152","8447","Ernani Sátiro",-0.41,-0.63,0.04,-0.25,-1.25,-0.35,4,0,103,19,411
"3065153","12049","Ernesto Geisel",-0.27,-0.20,0.22,0.01,-0.23,-0.06,3,0,101,0,264
"3064961","3384","Expedicionários",-0.28,0.12,0.69,0.13,0.67,0.33,1,0,25,0,76
"3065154","16222","Funcionários",-0.46,-0.53,-0.21,-0.43,-1.62,-0.45,5,0,137,66,807
"3064215","6288","Gramame",-0.42,-0.87,-0.55,-0.56,-2.40,-0.67,5,0,32,30,618
"3065155","5784","Grotão",-0.62,-0.94,-0.59,-0.54,-2.69,-0.75,4,0,119,80,438
"3064379","6386","Ilha do Bispo",-0.52,-0.96,-0.48,-0.66,-2.62,-0.74,2,0,119,202,840
"3065048","14368","Jaguaribe",-0.16,0.02,0.79,0.24,0.90,0.45,2,1,205,122,365
"3065231","11476","Jardim Cidade Universitária",-0.20,0.34,0.07,0.38,0.59,0.30,1,0,60,13,218
"2979412","10015","Jardim Oceania",-0.36,1.00,0.43,-0.04,1.03,0.52,0,0,25,5,38
"3065232","2543","Jardim São Paulo",-0.28,0.43,0.17,1.00,1.33,0.66,1,0,23,0,18
"3064265","12494","Jardim Veneza",-0.64,-0.87,-0.49,-0.53,-2.54,-0.71,5,0,144,60,686
"3065255","1206","João Agripino",-0.22,0.33,0.62,0.22,0.95,0.48,0,0,6,0,12
"3065156","9912","João Paulo II",-0.65,-0.75,-0.56,-0.61,-2.56,-0.72,2,0,84,69,646
"3065233","8776","José Américo",-0.60,-0.54,-0.15,-0.35,-1.63,-0.46,3,0,87,8,432
"3062425","19289","Manaíra",-0.22,0.82,0.61,0.04,1.25,0.63,4,0,54,16,180
"3064765","12776","Mandacaru",-0.41,-0.75,-0.14,-0.14,-1.44,-0.40,3,0,141,135,957
"3065234","67398","Mangabeira",-0.33,-0.53,-0.09,-0.04,-0.98,-0.28,27,1,550,115,4701
"3064956","6986","Miramar",-0.44,0.28,-0.12,-0.18,-0.46,-0.13,2,0,35,0,190
"3064138","4882","Muçumagro",-0.68,-0.91,-0.04,-0.51,-2.15,-0.60,0,0,58,79,465
"3064268","31028","Oitizeiro",-0.49,-0.82,-0.53,-0.43,-2.27,-0.63,11,0,487,13,711
"3064203","8134","Paratibe",-0.76,-0.86,0.01,-0.28,-1.89,-0.53,5,0,50,58,472
"3064957","2739","Pedro Gondim",-0.19,0.77,-0.07,-0.02,0.49,0.24,0,0,17,2,23
"3062952","773","Penha",-0.57,-0.79,-0.08,-1.00,-2.43,-0.68,1,0,2,0,49
"3064193","3318","Planalto Da Boa Esperança",-0.48,-0.67,-0.29,-0.18,-1.62,-0.45,3,0,29,7,176
"3062496","383","Ponta do Seixas",-0.66,0.66,0.13,-0.22,-0.08,-0.02,0,0,1,0,31
"3062497","1510","Portal do Sol",-0.42,-0.10,-0,75,-0.57,-1.84,-0.52,1,0,10,1,20
"3064515","9421","Róger",-0.33,-0.63,0.05,-0.26,-1.18,-0.33,3,0,145,209,909
"3064958","7923","São José",-0.42,-1.00,-1.00,-0.22,-2.64,-0.74,0,0,64,26,846
"3062452","6782","Tambaú",-0.22,0.84,0.76,0.34,1.71,0.86,0,0,27,0,46
"3064962","4466","Tambauzinho",-0.17,0.81,0.77,-0.03,1.38,0.69,0,0,12,0,57
"3064516","2172","Tambiá",-0.25,0.02,0.68,0.14,0.59,0.29,1,1,24,4,66
"3064968","17062","Torre",-0.29,-0.19,0.54,0.01,0.06,0.03,2,0,166,4,428
"3064767","7850","Treze de Maio",-0.25,0.00,0.42,-0.23,-0.06,-0.02,4,0,62,2,260
"3065049","8399","Trincheiras",-0.40,-0.73,0.08,-0.26,-1.31,-0.37,3,0,116,52,389
"3064194","22306","Valentina",-0.34,-0.44,0.02,-0.37,-1.13,-0.32,7,1,212,3,887
"3064517","4121","Varadouro",-0.46,-0.71,0.07,-0.04,-1.14,-0.32,0,0,89,51,329
"unknown","0",Varjão",-0.42,-0.80,-0.10,-0.39,-1.71,-0.48,7,0,323,42,1387
